step,win_rate
111,0.0
10119,0.0
20242,0.0
30343,0.0
40390,0.0
50446,0.0
60480,0.0
70502,0.0
80564,0.0
90579,0.0
100598,0.0
110603,0.0
120636,0.1875
130656,0.0
140661,0.15625
150680,0.125
160714,0.1875
170728,0.0625
180853,0.0
190856,0.125
200866,0.0
210889,0.0
220910,0.0
230922,0.0
240975,0.1875
250988,0.21875
260997,0.0
271079,0.0
281084,0.0
291180,0.0
301202,0.0
311210,0.0
321230,0.0625
331236,0.1875
341248,0.25
351260,0.09375
361279,0.0
371305,0.0625
381338,0.0
391428,0.0
401445,0.0
411455,0.0
421474,0.03125
431475,0.03125
441494,0.0
451504,0.09375
461504,0.0
471508,0.0625
481533,0.0
491537,0.0
501569,0.0
511633,0.03125
521640,0.0
531689,0.0
541695,0.0
551740,0.03125
561756,0.03125
571770,0.25
581817,0.09375
591942,0.0
601951,0.03125
611956,0.0
621978,0.0
632015,0.03125
642052,0.0
652070,0.0
662100,0.0
672119,0.0
682149,0.1875
692158,0.125
702213,0.0
712213,0.125
722223,0.0625
732233,0.125
742251,0.15625
752259,0.125
762364,0.03125
772381,0.0625
782388,0.0
792458,0.1875
802493,0.0
812501,0.09375
822521,0.03125
832575,0.0625
842656,0.15625
852659,0.15625
862806,0.0
